"","name","aliases"
"1","Anomander Rake","Purake"
"2","Anomander Rake","Rake"
"3","Anomander Rake","Anomandaris Purake"
"4","Anomander Rake","'Mander"
"5","Anomander Rake","Blacksword"
"6","Anomander Rake","Anomandaris Dragnipurake"
"7","Anomander Rake","Seguleh Seventh"
"8","Anomander Rake","Son of Darkness"
"9","Anomander Rake","Knight of High House Dark"
"10","Fiddler","Strings"
"11","Fist Gamet","Gimlet"
"12","Cotillion","Dancer"
"13","Cotillion","The Rope"
"14","Cotillion","Dorin"
"15","Cotillion","Assassin of High House Shadow"
"16","Yan Tovis","Twilight"
"17","Urko Crust","Ba'ienrok"
"18","Urko Crust","Keeper"
"19","Yedan Derryg","Watch"
"20","Destriant Kalyth","Elan"
"21","The Errant","Errastas"
"22","The Errant","Turudal Brizad"
"23","The Errant","First Consort"
"24","Knuckles","Sechul Lath"
"25","Studlock","Studious Lock"
"26","Hanavat","Gall's wife"
"27","Kruppe","Eel"
"28","Dujek Onearm","High Fist"
"29","Dujek Onearm","Onearm"
"30","Crokus","Cutter"
"31","Apsalar","Sorry"
"32","Shadowthrone","Ammanas"
"33","Shadowthrone","Kellanved"
"34","Shadowthrone","Wu"
"35","Shadowthrone","King of High House Shadow"
"36","Silchas Ruin","White Crow"
"37","Ganoes Paran","Master of the Deck"
"38","Treach","Trake"
"39","Treach","Tiger of Summer"
"40","Treach","Hunter of High House War"
"41","Fener","Tennerock"
"42","Fener","Boar of Summer"
"43","Soliel","Shedenul"
"44","Soliel","Mistress of Healing"
"45","Soliel","Lady of Death"
"46","Poliel","Mistress of Pestilence"
"47","Poliel","Grey Goddess"
"48","Poliel","Queen of Disease"
"49","Poliel","Consort"
"50","T'riss","Queen of Dreams"
"51","T'riss","Queen of High House Life"
"52","Mael","Bugg"
"53","K'rul","Keruli"
"54","Nightchill","Sister of Cold Nights"
"55","Whiskeyjack","Iskar Jarak"
"56","Whiskeyjack","Bird who Steals"
"57","Bellurdan","Dying God"
"58","Caladan Brood","Warlord"
"59","Caladan Brood","High Mason"
"60","Kallor","High King"
"61","Karsa Orlong","Toblakai"
"62","Karsa Orlong","Knight of High House Chains"
"63","Crippled God","Kaminsod"
"64","Crippled God","Chained One

"
"65","Togg and Fanderay","Wolves of Winter"
"66","D'rek","Worm of Autumn"
"67","Scabandari Bloodeye","Scara Bandaris"
"68","Menandore","Sister Dawn"
"69","Sukul Ankhadu","Dapple"
"70","Sheltatha Lore","Daughter Dusk"
"71","Rud Elalle","Ryadd Eleis"
"72","Onos T'oolan","Tool"
"73","Onos T'oolan","First Sword"
"74","Onos T'oolan","Onos Toolan"
"75","Dassem Ultor","Dessembrae"
"76","Dassem Ultor","Lord of Tragedy"
"77","Dassem Ultor","Traveller"
"78","Felisin Paran","Sha'ik"
"79","Heboric","Herboric Ghost Hands"
"80","Heboric","Heboric Light Touch"
"81","Heboric","Ghost Hands"
"82","Heboric","Light Touch"
"83","Laseen","Surly"
"84","Itkovian","Redeemer"
"85","Quick Ben","Ben Adaephon Delat"
"86","Greymane","Stonewielder"
"87","Greymane","Orjin Samarr"
"88","Greymane","Great Betrayer"
"89","Topper","Ragman"
"90","Topper","Tatterdemalion"
"91","Pearl","Salk Elan"
"92","Osseric

","Osric"
"93","Osseric

","Osserc"
"94","Osseric

","Liossercal"
"95","Osseric

","Son of Light"
"96","Osseric

","Champion of High House Light"
"97","Sandalath Drukorlat","Mother Dark"
"98","Hood","Hooded One"
"99","Hood","Dark Hoarder"
"100","Hood","Shrouded One"
"101","Hood","Lord of Grief"
"102","Trull Sengar","Knight of Shadow"
"103","Iskaral Pust","Magus of Shadow"
"104","Toc the Younger","Toc Anaster"
"105","Toc the Younger","Herald of High House War"
"106","Toc the Younger","Anaster"
"107","Toc the Younger","Anaster Toc"
"108","Icarium","Icarium Lifestealer"
"109","Icarium","Lifestealer"
"110","Crump","Jamber Bole"
"111","Adjunct Lorn","Adjunct"
"112","Duiker","Historian"
"113","Duiker","Imperial Historian"
"114","Rigga","Riggalai the Seer"
"115","Turban Orr","Councilman Turban Orr"
"116","Talo Krafar","Talo"
"117","Hannan Mosag","Warlock King"
