book,chapter,names
1,1,Ammanas
1,1,Ganoes Stabro Paran
1,1,Brid
1,1,Dessembrae
1,1,Hood
1,1,Laseen
1,1,Maybe
1,1,Dujek Onearm
1,1,Prince
1,1,Caladan Brood
1,1,Imry
1,10,Onos T'oolan
1,10,Toc the Younger
1,10,Ganoes Stabro Paran
1,10,Whiskeyjack
1,10,Caladan Brood
1,10,Lorn
1,10,Hood
1,10,Laseen
1,10,Logros
1,10,Ammanas
1,10,Dujek Onearm
1,10,Tayschrenn
1,10,Hairlock
1,10,Howl
1,10,Scant
1,10,Tattersail
1,10,Voice
1,10,Brid
1,10,Tulip
1,10,List
1,10,Chal
1,10,Maybe
1,10,Ben Adaephon Delat
1,10,Kalam Mekhar
1,10,Sorry
1,10,Toc the Elder
1,10,Gear
1,10,Hands
1,10,Cotillion
1,10,Tahl
1,10,Kig Aven
1,10,Aven
1,10,Kilava
1,10,Kilava 
1,10,Olar
1,10,Olar Ethil
1,10,Eitholos
1,10,Eitholos Ilm
1,10,Ethil
1,10,Anna
1,10,Kron
1,10,Crone
1,10,Anomander Rake
1,11,Kallor
1,11,Caladan Brood
1,11,Outrider
1,11,Outrider Hurlochel
1,11,Hurlochel
1,11,Lorn
1,11,Tattersail
1,11,Dujek Onearm
1,11,Tayschrenn
1,11,Rend
1,11,Ganoes Stabro Paran
1,11,Toc the Younger
1,11,Hood
1,11,Mallet
1,11,Whiskeyjack
1,11,Sorry
1,11,Brid
1,11,Tahl
1,11,Bellurdan
1,11,T'riss
1,11,Dreams
1,11,Nightchill
1,11,Hairlock
1,11,Soliel
1,11,Onos T'oolan
1,11,Tennes
1,11,Crone
1,11,Anomander Rake
1,11,Dela
1,11,Jorrick
1,11,Jorrick Sharplance
1,11,Sharplance
1,11,Prince
1,11,Laseen
1,11,Scant
1,11,Crow
1,11,Yedan Derryg
1,11,Mother
1,11,Hurtle
1,11,Kin Clip
1,11,Clip
1,11,Faint
1,11,Ammanas
1,12,Stone
1,12,Kruppe
1,12,Pran
1,12,Pran Chole
1,12,Cannig
1,12,Cannig Tol
1,12,Kron
1,12,Chole
1,12,Malle
1,12,K'rul
1,12,Tattersail
1,12,Rallick Nom
1,12,Murillio
1,12,Baruk
1,12,Crokus Younghand
1,12,Mammot
1,12,Whiskeyjack
1,12,Sorry
1,12,Trotts
1,12,Hedge
1,12,Fiddler
1,12,Mallet
1,12,Ben Adaephon Delat
1,12,Kalam Mekhar
1,12,Gedderone
1,12,Younghand
1,12,Tiny
1,12,Moby
1,12,Maybe
1,12,Sandenay
1,12,Drin
1,12,Cotillion
1,12,Ammanas
1,12,Irilta
1,12,Meese
1,12,D'Arle
1,12,Chert
1,12,Scurve
1,12,Sheltatha Lore
1,12,Dujek Onearm
1,12,Hairlock
1,12,Tayschrenn
1,12,Dawn
1,12,Coll
1,12,Rall
1,13,Apsalar
1,13,Chained
1,13,Kruppe
1,13,Brevity
1,13,Crippled God
1,13,Hood
1,13,Dessembrae
1,13,Silanah
1,13,Home
1,13,Coll
1,13,Mammot
1,13,Crokus Younghand
1,13,Murillio
1,13,Rallick Nom
1,13,Baruk
1,13,Chert
1,13,Crone
1,13,Anomander Rake
1,13,Alchemist
1,13,Grum
1,13,Ben Adaephon Delat
1,13,Blind
1,13,Baran
1,13,Gear
1,13,Bara
1,13,Shan
1,13,Doan
1,13,Rood
1,13,Pall
1,13,Ammanas
1,13,Cotillion
1,13,Dela
1,13,Little
1,13,Turban Orr
1,13,Kalam Mekhar
1,13,Kala
1,13,Sorry
1,13,Whiskeyjack
1,13,Rall
1,13,Ocelot
1,13,Vorcan
1,13,Alar
1,13,Scurve
1,13,Maybe
1,13,D'Arle
1,14,Blind
1,14,Blind Warleader Gallan
1,14,Ben Adaephon Delat
1,14,Kalam Mekhar
1,14,Kala
1,14,Hood
1,14,Maybe
1,14,Clam
1,14,Rallick Nom
1,14,Ocelot
1,14,List
1,14,Rall
1,14,Sorry
1,14,Kruppe
1,14,Ganoes Stabro Paran
1,14,Lorn
1,14,Laseen
1,14,Brid
1,14,Whiskeyjack
1,14,Crokus Younghand
1,14,Challice
1,14,D'Arle
1,14,Chal
1,14,Younghand
1,14,Alar
1,14,Tayschrenn
1,14,Pearl
1,14,Adaephon
1,14,Ben Adaephon Ben Adaephon Delat
1,14,Thal
1,14,Murillio
1,14,Coll
1,14,Vorcan
1,14,Mammot
1,14,Baruk
1,14,Anomander Rake
1,14,Serrat
1,14,Jekaral
1,14,Caladan Brood
1,14,Mist
1,14,Fiddler
1,14,Hedge
1,14,Mallet
1,14,Trotts
1,14,Malle
1,14,Estraysian
1,14,Estraysian D'Arle
1,14,Turban Orr
1,14,Alchemist
1,14,K'rul
1,14,Tattersail
1,14,Aparal Forge
1,14,Knight
1,14,Silverfox
1,14,Outrider
1,14,Outrider Hurlochel
1,15,Onos T'oolan
1,15,Laseen
1,15,Lorn
1,15,Dujek Onearm
1,15,Tayschrenn
1,15,Logros
1,15,Anomander Rake
1,15,Murillio
1,15,Kruppe
1,15,Crokus Younghand
1,15,Coll
1,15,Rallick Nom
1,15,Rall
1,15,Alchemist
1,15,Baruk
1,15,Belie
1,15,Sorry
1,15,Faint
1,15,Tahl
1,15,Stone
1,15,Ganoes Stabro Paran
1,15,Toc the Younger
1,15,Whiskeyjack
1,16,Fisher
1,16,Hairlock
1,16,Trotts
1,16,Kalam Mekhar
1,16,Ben Adaephon Delat
1,16,Yedan Derryg
1,16,Ganoes Stabro Paran
1,16,Toc the Younger
1,16,Tattersail
1,16,Lorn
1,16,Whiskeyjack
1,16,Maybe
1,16,Hood
1,16,Sorry
1,16,Cotillion
1,16,Ammanas
1,16,Onos T'oolan
1,16,Laseen
1,16,Bell
1,16,Anger
1,16,Crokus Younghand
1,16,Stub
1,16,Gear
1,16,Rood
1,16,Doan
1,16,Ganrod
1,16,Anomander Rake
1,16,Caladan Brood
1,16,Crone
1,16,Gethol
1,16,Grasp
1,16,Fill
1,16,Bait
1,16,Coll
1,16,Murillio
1,16,Kruppe
1,16,Chert
1,16,Rigga
1,16,Gedderone
1,16,List
1,16,Mammot
1,17,Dessembrae
1,17,Tragedy
1,17,Onos T'oolan
1,17,Lorn
1,17,Laseen
1,17,Crokus Younghand
1,17,Coll
1,17,Challice
1,17,Chal
1,17,Sorry
1,17,Brid
1,17,Apsalar
1,17,Maybe
1,17,Kruppe
1,17,Murillio
1,17,Baruk
1,17,Mammot
1,17,Rallick Nom
1,17,Hunt
1,17,Hood
1,17,Ganoes Stabro Paran
1,17,Anomander Rake
1,17,Whiskeyjack
1,17,Lost
1,17,Caladan Brood
1,17,Death
1,17,Tattersail
1,17,Bellurdan
1,17,Dujek Onearm
1,17,Truth
1,17,Ammanas
1,17,Fisher
1,18,Silverfox
1,18,Outrider
1,18,Outrider Hurlochel
1,18,Hurlochel
1,18,Meese
1,18,Rallick Nom
1,18,Kruppe
1,18,Home
1,18,Irilta
1,18,Rall
1,18,Turban Orr
1,18,Coll
1,18,Murillio
1,18,Ocelot
1,18,Sulty
1,18,Anomander Rake
1,18,Baruk
1,18,Laseen
1,18,Alchemist
1,18,Caladan Brood
1,18,Silanah
1,18,Vorcan
1,18,Ammanas
1,18,Mammot
1,18,Worm
1,18,Worm of Autumn
1,18,Autumn
1,18,Dessembrae
1,18,Circle
1,18,Circle Breaker
1,18,Breaker
1,18,Apsalar
1,18,Sorry
1,18,Crokus Younghand
1,18,Moby
1,18,Maybe
1,18,D'Arle
1,18,Challice
1,18,Chal
1,18,Serrat
1,18,Scurve
1,18,Hood
1,18,K'rul
1,18,Best
1,19,Blind
1,19,Blind Warleader Gallan
1,19,Kalam Mekhar
1,19,Whiskeyjack
1,19,Ben Adaephon Delat
1,19,Fiddler
1,19,Hedge
1,19,Trotts
1,19,Mallet
1,19,Sorry
