name1,name2,book,chapter
Dessembrae,Ganoes Stabro Paran,1,1
Dessembrae,Ganoes Stabro Paran,1,1
Dessembrae,Ganoes Stabro Paran,1,1
Ammanas,Laseen,1,1
Ammanas,Laseen,1,1
Ammanas,Maybe,1,1
Laseen,Maybe,1,1
Ammanas,Maybe,1,1
Ammanas,Laseen,1,1
Ammanas,Ganoes Stabro Paran,1,1
Laseen,Ganoes Stabro Paran,1,1
Ammanas,Ganoes Stabro Paran,1,1
Ganoes Stabro Paran,Laseen,1,1
Laseen,Hood,1,1
Caladan Brood,Dujek Onearm,1,1
Dujek Onearm,Caladan Brood,1,1
Toc the Younger,Onos T'oolan,1,10
Whiskeyjack,Ganoes Stabro Paran,1,10
Lorn,Hood,1,10
Toc the Younger,Lorn,1,10
Lorn,Onos T'oolan,1,10
Logros,Lorn,1,10
Logros,Onos T'oolan,1,10
Lorn,Onos T'oolan,1,10
Logros,Onos T'oolan,1,10
Laseen,Lorn,1,10
Ammanas,Lorn,1,10
Tayschrenn,Dujek Onearm,1,10
Ganoes Stabro Paran,Lorn,1,10
Whiskeyjack,Hairlock,1,10
Whiskeyjack,Hairlock,1,10
Whiskeyjack,Lorn,1,10
Hairlock,Lorn,1,10
Whiskeyjack,Lorn,1,10
Hairlock,Lorn,1,10
Hairlock,Ganoes Stabro Paran,1,10
Hairlock,Lorn,1,10
Ganoes Stabro Paran,Lorn,1,10
Hairlock,Ganoes Stabro Paran,1,10
Tayschrenn,Hairlock,1,10
Tayschrenn,Ganoes Stabro Paran,1,10
Hairlock,Ganoes Stabro Paran,1,10
Tayschrenn,Ganoes Stabro Paran,1,10
Toc the Younger,Tayschrenn,1,10
Toc the Younger,Tayschrenn,1,10
Toc the Younger,Ganoes Stabro Paran,1,10
Tayschrenn,Ganoes Stabro Paran,1,10
Whiskeyjack,Tattersail,1,10
Tattersail,Ganoes Stabro Paran,1,10
Tattersail,Hairlock,1,10
Tayschrenn,Dujek Onearm,1,10
Tayschrenn,Lorn,1,10
Dujek Onearm,Lorn,1,10
Dujek Onearm,Lorn,1,10
Tayschrenn,Lorn,1,10
Tattersail,Tayschrenn,1,10
Tattersail,Lorn,1,10
Tayschrenn,Lorn,1,10
Tattersail,Tayschrenn,1,10
Toc the Younger,Laseen,1,10
Toc the Younger,Lorn,1,10
Laseen,Lorn,1,10
Toc the Younger,Dujek Onearm,1,10
Toc the Younger,Lorn,1,10
Dujek Onearm,Lorn,1,10
Laseen,Dujek Onearm,1,10
Laseen,Lorn,1,10
Dujek Onearm,Lorn,1,10
Laseen,Dujek Onearm,1,10
Laseen,Caladan Brood,1,10
Laseen,Dujek Onearm,1,10
Laseen,Caladan Brood,1,10
Dujek Onearm,Caladan Brood,1,10
Laseen,Dujek Onearm,1,10
Laseen,Caladan Brood,1,10
Laseen,Lorn,1,10
Dujek Onearm,Caladan Brood,1,10
Dujek Onearm,Lorn,1,10
Caladan Brood,Lorn,1,10
Caladan Brood,Lorn,1,10
Tulip,Lorn,1,10
Laseen,Tulip,1,10
Laseen,Lorn,1,10
Tulip,Lorn,1,10
Laseen,Tulip,1,10
Tulip,Dujek Onearm,1,10
Caladan Brood,Dujek Onearm,1,10
Dujek Onearm,Caladan Brood,1,10
Caladan Brood,Laseen,1,10
Tayschrenn,Laseen,1,10
Tayschrenn,Dujek Onearm,1,10
Laseen,Dujek Onearm,1,10
Tattersail,Lorn,1,10
Tattersail,Dujek Onearm,1,10
Tattersail,Lorn,1,10
Dujek Onearm,Lorn,1,10
Tattersail,Dujek Onearm,1,10
Lorn,List,1,10
Tayschrenn,Lorn,1,10
Tayschrenn,List,1,10
Lorn,List,1,10
Tayschrenn,Laseen,1,10
Tayschrenn,Lorn,1,10
Tayschrenn,List,1,10
Laseen,Lorn,1,10
Laseen,List,1,10
